Version,Family,Scientific name,Previously,As of the stated version,Date
1.6,Caryophyllaceae,Minuartia nuttallii var. gracilis,Accepted,Synonym of Sabulina nuttallii var. gracilis,4/27/2016
1.6,Caryophyllaceae,Minuartia nuttallii var. gregaria,Accepted,Synonym of Sabulina nuttallii var. gregaria,4/27/2016
1.6,Caryophyllaceae,Minuartia nuttallii var. nuttallii,Accepted,Synonym of Sabulina nuttallii var. nuttallii,4/27/2016
1.6,Caryophyllaceae,Minuartia obtusiloba,Accepted,Synonym of Cherleria obtusiloba,4/27/2016
1.6,Caryophyllaceae,Minuartia pusilla,Accepted,Synonym of Sabulina pusilla,4/27/2016
1.6,Caryophyllaceae,Minuartia rubella,Accepted,Synonym of Sabulina rubella,4/27/2016
1.6,Caryophyllaceae,Minuartia tenella,Accepted,Synonym of Sabulina macra,4/27/2016
1.6,Caryophyllaceae,Polycarpon tetraphyllum,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Caryophyllaceae,Polycarpon tetraphyllum ssp. tetraphyllum,Synonym of Polycarpon tetraphyllum,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina austromontana,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina californica,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina cismontana,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina douglasii,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina howellii,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina macra,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina nuttallii,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina nuttallii var. fragilis,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina nuttallii var. gracilis,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina nuttallii var. gregaria,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina nuttallii var. nuttallii,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina pusilla,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Sabulina rubella,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Silene acaulis,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Caryophyllaceae,Silene acaulis var. exscapa,Accepted,Synonym of Silene acaulis,4/27/2016
1.6,Caryophyllaceae,Silene bernardina,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Caryophyllaceae,Silene bernardina var. rigidula,Accepted,Synonym of Silene bernardina,4/27/2016
1.6,Caryophyllaceae,Silene coronaria,Accepted,Synonym of Lychnis coronaria,4/27/2016
1.6,Caryophyllaceae,Silene hookeri ssp. pulverulenta,Accepted,Synonym of Silene hookeri ssp. hookeri,4/27/2016
1.6,Caryophyllaceae,Silene pectinata,Synonym of Silene nuda,Accepted,4/27/2016
1.6,Caryophyllaceae,Silene scaposa,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Caryophyllaceae,Silene scaposa var. lobata,Accepted,Synonym of Silene nuda,4/27/2016
1.6,Caryophyllaceae,Silene scaposa var. scaposa,Accepted,Synonym of Silene scaposa,4/27/2016
1.6,Caryophyllaceae,Spergularia marina,Synonym of Spergularia salina var. salina,Accepted,4/27/2016
1.6,Caryophyllaceae,Spergularia salina,Accepted,Synonym of Spergularia marina,4/27/2016
1.6,Caryophyllaceae,Spergularia salina var. salina,Accepted,Synonym of Spergularia marina,4/27/2016
1.6,Celastraceae,Euonymus occidentalis,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Celastraceae,Euonymus occidentalis var. occidentalis,Accepted,Synonym of Euonymus occidentalis,4/27/2016
1.6,Comandraceae,Comandra umbellata,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Comandraceae,Comandra umbellata ssp. californica,Accepted,Synonym of Comandra umbellata,4/27/2016
1.6,Comandraceae,Comandra umbellata ssp. pallida,Accepted,Synonym of Comandra umbellata,4/27/2016
1.6,Commelinaceae,Tradescantia fluminensis,Under evaluation,Accepted,4/27/2016
1.6,Convolvulaceae,Cressa truxillensis,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Convolvulaceae,Cressa truxillensis var. vallicola,Accepted,Synonym of Cressa truxillensis,4/27/2016
1.6,Convolvulaceae,Cuscuta approximata,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Convolvulaceae,Cuscuta approximata var. approximata,Under evaluation,Accepted,4/27/2016
1.6,Convolvulaceae,Cuscuta californica,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Convolvulaceae,Cuscuta californica var. californica,Synonym of Cuscuta californica,Accepted,4/27/2016
1.6,Convolvulaceae,Cuscuta campestris,Misapplied to Cuscuta pentagona var. pentagona,Accepted,4/27/2016
1.6,Convolvulaceae,Cuscuta epithymum,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Convolvulaceae,Cuscuta epithymum var. epithymum,Under evaluation,Accepted,4/27/2016
1.6,Convolvulaceae,Cuscuta indecora var. indecora,Excluded,Accepted,4/27/2016
1.6,Convolvulaceae,Cuscuta indecora var. neuropetala,Accepted,Synonym of Cuscuta indecora var. indecora,4/27/2016
1.6,Convolvulaceae,Cuscuta pacifica,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Convolvulaceae,Cuscuta pacifica var. pacifica,Synonym of Cuscuta pacifica,Accepted,4/27/2016
1.6,Convolvulaceae,Cuscuta pentagona,Accepted,Synonym of Cuscuta campestris,4/27/2016
1.6,Convolvulaceae,Cuscuta pentagona var. pentagona,Accepted,Synonym of Cuscuta campestris,4/27/2016
1.6,Convolvulaceae,Cuscuta suksdorfii,Synonym of Cuscuta occidentalis,Accepted,4/27/2016
1.6,Cornaceae,Cornus obliqua,Under evaluation,Accepted,4/27/2016
1.6,Crassulaceae,Sedum lanceolatum var. nesioticum,Accepted,Excluded,4/27/2016
1.6,Crassulaceae,Sedum obtusatum,Accepted,Excluded,4/27/2016
1.6,Crassulaceae,Sedum obtusatum ssp. retusum,Accepted,Excluded,4/27/2016
1.6,Crassulaceae,Sedum rupestre,Accepted,Excluded,4/27/2016
1.6,Crassulaceae,Sedum spathulifolium,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Crassulaceae,Sedum spathulifolium ssp. purdyi,Accepted,Synonym of Sedum spathulifolium,4/27/2016
1.6,Crassulaceae,Sedum spathulifolium ssp. spathulifolium,Accepted,Synonym of Sedum spathulifolium,4/27/2016
1.6,Cucurbitaceae,Echinocystis lobata,Excluded,Accepted,4/27/2016
1.6,Cyperaceae,Carex brevicaulis,Accepted,Synonym of Carex zikae,4/27/2016
1.6,Cyperaceae,Carex zikae,Under evaluation,Accepted,4/27/2016
1.6,Elatinaceae,Elatine rubella,Synonym of Elatine chilensis,Accepted,4/27/2016
1.6,Ericaceae,Cassiope mertensiana ssp. gracilis,Accepted,Synonym of Cassiope mertensiana var. gracilis,4/27/2016
1.6,Ericaceae,Cassiope mertensiana ssp. mertensiana,Accepted,Synonym of Cassiope mertensiana var. mertensiana,4/27/2016
1.6,Ericaceae,Cassiope mertensiana var. gracilis,Synonym of Cassiope mertensiana ssp. gracilis,Accepted,4/27/2016
1.6,Ericaceae,Cassiope mertensiana var. mertensiana,Synonym of Cassiope mertensiana ssp. mertensiana,Accepted,4/27/2016
1.6,Ericaceae,Chimaphila umbellata,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Ericaceae,Chimaphila umbellata ssp. umbellata,Accepted,Synonym of Chimaphila umbellata,4/27/2016
1.6,Ericaceae,Pyrola aphylla,Synonym of Pyrola picta,Accepted,4/27/2016
1.6,Ericaceae,Vaccinium caespitosum,Synonym of Vaccinium cespitosum,Accepted,4/27/2016
1.6,Ericaceae,Vaccinium cespitosum,Accepted,Synonym of Vaccinium caespitosum,4/27/2016
1.6,Euphorbiaceae,Euphorbia dulcis,Accepted,Excluded,4/27/2016
1.6,Fabaceae,Hoita macrostachya,Under evaluation,Accepted,4/27/2016
1.6,Fabaceae,Ononis arvensis,Accepted,Excluded,4/27/2016
1.6,Fabaceae,Vicia lathyroides,Excluded,Accepted,4/27/2016
1.6,Heliotropiaceae,Argusia sibirica,Accepted,Synonym of Tournefortia sibirica,4/27/2016
1.6,Heliotropiaceae,Tournefortia sibirica,Synonym of Argusia sibirica,Accepted,4/27/2016
1.6,Liliaceae,Lilium washingtonianum ssp. washingtonianum,Excluded,Accepted,4/27/2016
1.6,Liliaceae,Prosartes parvifolia,Synonym of Prosartes hookeri,Accepted,4/27/2016
1.6,Montiaceae,Claytonia parviflora,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Montiaceae,Claytonia parviflora ssp. parviflora,Accepted,Synonym of Claytonia parviflora,4/27/2016
1.6,Montiaceae,Claytonia perfoliata,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Montiaceae,Claytonia perfoliata ssp. intermontana,Accepted,Synonym of Claytonia perfoliata,4/27/2016
1.6,Montiaceae,Claytonia perfoliata ssp. perfoliata,Accepted,Synonym of Claytonia perfoliata,4/27/2016
1.6,Montiaceae,Claytonia rubra,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Montiaceae,Claytonia rubra ssp. depressa,Accepted,Synonym of Claytonia rubra,4/27/2016
1.6,Montiaceae,Claytonia rubra ssp. rubra,Accepted,Synonym of Claytonia rubra,4/27/2016
1.6,Onagraceae,Ludwigia peploides ssp. montevidensis,Under evaluation,Accepted,4/27/2016
1.6,Orobanchaceae,Castilleja affinis,Accepted,Synonym of Castilleja litoralis,4/27/2016
1.6,Orobanchaceae,Castilleja affinis ssp. litoralis,Accepted,Synonym of Castilleja litoralis,4/27/2016
1.6,Orobanchaceae,Castilleja ambigua ssp. ambigua,Accepted,Synonym of Castilleja ambigua var. ambigua,4/27/2016
1.6,Orobanchaceae,Castilleja ambigua var. ambigua,Synonym of Castilleja ambigua ssp. ambigua,Accepted,4/27/2016
1.6,Orobanchaceae,Castilleja campestris ssp. campestris,Accepted,Synonym of Castilleja campestris var. campestris,4/27/2016
1.6,Orobanchaceae,Castilleja campestris var. campestris,Synonym of Castilleja campestris ssp. campestris,Accepted,4/27/2016
1.6,Orobanchaceae,Castilleja collegiorum,Under evaluation,Accepted,4/27/2016
1.6,Orobanchaceae,Castilleja litoralis,Synonym of Castilleja affinis ssp. litoralis,Accepted,4/27/2016
1.6,Orobanchaceae,Castilleja lutea,Synonym of Castilleja cusickii,Accepted,4/27/2016
1.6,Orobanchaceae,Castilleja miniata var. dixonii,Synonym of Castilleja miniata var. miniata,Accepted,4/27/2016
1.6,Orobanchaceae,Orobanche californica ssp. jepsonii,Under evaluation,Accepted,4/27/2016
1.6,Orobanchaceae,Orobanche parishii,Under evaluation,Accepted,4/27/2016
1.6,Oxalidaceae,Oxalis pes-caprae,Under evaluation,Accepted,4/27/2016
1.6,Plantaginaceae,Callitriche brutia var. hamulata,Under evaluation,Accepted,4/27/2016
1.6,Plantaginaceae,Callitriche stenoptera,Under evaluation,Accepted,4/27/2016
1.6,Plantaginaceae,Penstemon janishiae,Excluded,Accepted,4/27/2016
1.6,Plantaginaceae,Veronica biloba,Excluded,Accepted,4/27/2016
1.6,Poaceae,Agrostis elliottiana,Accepted,Excluded,4/27/2016
1.6,Poaceae,Pennisetum villosum,Under evaluation,Accepted,4/27/2016
1.6,Poaceae,Thinopyrum junceum,Excluded,Accepted,4/27/2016
1.6,Primulaceae,Anagallis arvensis,Accepted,Synonym of Lysimachia arvensis,4/27/2016
1.6,Primulaceae,Centunculus minimus,Accepted,Synonym of Lysimachia minima,4/27/2016
1.6,Primulaceae,Glaux maritima,Accepted,Synonym of Lysimachia maritima,4/27/2016
1.6,Primulaceae,Lysimachia arvensis,Under evaluation,Accepted,4/27/2016
1.6,Primulaceae,Lysimachia europaea,Under evaluation,Accepted,4/27/2016
1.6,Primulaceae,Lysimachia latifolia,Under evaluation,Accepted,4/27/2016
1.6,Primulaceae,Lysimachia maritima,Synonym of Glaux maritima,Accepted,4/27/2016
1.6,Primulaceae,Lysimachia minima,Under evaluation,Accepted,4/27/2016
1.6,Primulaceae,Trientalis europaea ssp. arctica,Accepted,Synonym of Lysimachia europaea,4/27/2016
1.6,Primulaceae,Trientalis latifolia,Accepted,Synonym of Lysimachia latifolia,4/27/2016
1.6,Pteridaceae,Adiantum shastense,Under evaluation,Accepted,4/27/2016
1.6,Rosaceae,Amelanchier pallida,Synonym of Amelanchier utahensis,Accepted,4/27/2016
1.6,Rosaceae,Fragaria × ananassa ssp. ananassa,Under evaluation,Accepted,4/27/2016
1.6,Rosaceae,Heteromeles arbutifolia,Accepted,Synonym of Heteromeles salicifolia,4/27/2016
1.6,Rosaceae,Heteromeles salicifolia,Synonym of Heteromeles arbutifolia,Accepted,4/27/2016
1.6,Rubiaceae,Galium palustre,Under evaluation,Accepted,4/27/2016
1.6,Sapindaceae,Acer saccharum,Synonym of,Accepted,4/27/2016
1.6,Solanaceae,Lycium chinense,Under evaluation,Accepted,4/27/2016
1.6,Taxaceae,Torreya californica,Accepted,Excluded,4/27/2016
1.6,Valerianaceae,Valerianella eriocarpa,Under evaluation,Accepted,4/27/2016
1.5,Alismataceae,Sagittaria platyphylla,Under evaluation,Accepted,5/12/2015
1.5,Amaranthaceae,Chenopodium incanum var. occidentale,Under evaluation,Accepted,5/12/2015
1.5,Apiaceae,Cymopterus acaulis,Accepted,Synonym of Cymopterus glomeratus,5/12/2015
1.5,Apiaceae,Cymopterus acaulis var. acaulis,Accepted,Synonym of Cymopterus glomeratus,5/12/2015
1.5,Apiaceae,Cymopterus acaulis var. greeleyorum,Accepted,Synonym of Cymopterus glomeratus,5/12/2015
1.5,Apiaceae,Cymopterus glomeratus,Under evaluation,Accepted,5/12/2015
1.5,Apiaceae,Lomatium pastorale,Under evaluation,Accepted,5/12/2015
1.5,Apiaceae,Torilis leptophylla,Accepted,Excluded,5/12/2015
1.5,Apocynaceae,Asclepias solanoana,Excluded,Accepted,5/12/2015
1.5,Asparagaceae,Brodiaea coronaria,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Asparagaceae,Brodiaea coronaria ssp. coronaria,Accepted,Synonym of Brodiaea coronaria,5/12/2015
1.5,Asparagaceae,Brodiaea elegans,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Asparagaceae,Brodiaea elegans ssp. elegans,Accepted,Synonym of Brodiaea elegans,5/12/2015
1.5,Asparagaceae,Brodiaea elegans ssp. hooveri,Accepted,Synonym of Brodiaea elegans,5/12/2015
1.5,Asparagaceae,Brodiaea terrestris,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Asparagaceae,Brodiaea terrestris ssp. terrestris,Accepted,Synonym of Brodiaea terrestris,5/12/2015
1.5,Asparagaceae,Chlorogalum pomeridianum,Accepted (terminal),Accepted (not terminal),5/12/2015
1.5,Asparagaceae,Chlorogalum pomeridianum ssp. austrooreganum,Under evaluation,Accepted,5/12/2015
1.5,Asparagaceae,Chlorogalum pomeridianum var. minus,Synonym of Chlorogalum pomeridianum,Accepted,5/12/2015
1.5,Asparagaceae,Chlorogalum pomeridianum var. pomeridianum,Synonym of Chlorogalum pomeridianum,Accepted,5/12/2015
1.5,Asparagaceae,Triteleia ixioides,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Asparagaceae,Triteleia ixioides ssp. anilina,Accepted,Synonym of Triteleia ixioides,5/12/2015
1.5,Asparagaceae,Triteleia ixioides ssp. scabra,Accepted,Synonym of Triteleia ixioides,5/12/2015
1.5,Asteraceae,Erechtites glomeratus,Accepted,Synonym of Senecio glomeratus,5/12/2015
1.5,Asteraceae,Erechtites minima,Accepted,Synonym of Senecio minimus,5/12/2015
1.5,Asteraceae,Gamochaeta ustulata,Synonym of Gnaphalium purpureum,Accepted,5/12/2015
1.5,Asteraceae,Gnaphalium purpureum,Accepted,Synonym of Gamochaeta ustulata,5/12/2015
1.5,Asteraceae,Helenium autumnale,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Asteraceae,Helenium autumnale var. grandiflorum,Accepted,Synonym of Helenium autumnale,5/12/2015
1.5,Asteraceae,Helenium autumnale var. montanum,Accepted,Synonym of Helenium autumnale,5/12/2015
1.5,Asteraceae,Rudbeckia alpicola,Under evaluation,Accepted,5/12/2015
1.5,Asteraceae,Senecio glomeratus,Synonym of Erechtites glomeratus,Accepted,5/12/2015
1.5,Asteraceae,Senecio minimus,Synonym of Erechtites minima,Accepted,5/12/2015
1.5,Asteraceae,Symphyotrichum bracteolatum,Synonym of Symphyotrichum eatonii,Accepted,5/12/2015
1.5,Asteraceae,Symphyotrichum eatonii,Accepted,Synonym of Symphyotrichum bracteolatum,5/12/2015
1.5,Asteraceae,Xanthium strumarium,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Asteraceae,Xanthium strumarium var. canadense,Accepted,Synonym of Xanthium strumarium,5/12/2015
1.5,Asteraceae,Xanthium strumarium var. glabratum,Accepted,Synonym of Xanthium strumarium,5/12/2015
1.5,Athyriaceae,Athyrium alpestre var. americanum,Accepted,Synonym of Athyrium distentifolium var. americanum,5/12/2015
1.5,Athyriaceae,Athyrium filix-femina (L.) Mert. var. californicum,Accepted,Synonym of Athyrium filix-femina var. cyclosorum,5/12/2015
1.5,Boraginaceae,Cryptantha micrantha,Accepted,Synonym of Eremocarya micrantha,5/12/2015
1.5,Boraginaceae,Eremocarya micrantha,Under evaluation,Accepted,5/12/2015
1.5,Boraginaceae,Lappula montana,Under evaluation,Accepted,5/12/2015
1.5,Brassicaceae,Descurainia incisa ssp. viscosa,Accepted,Synonym of Descurainia incisa ssp. incisa,5/12/2015
1.5,Caryophyllaceae,Silene campanulata ssp. campanulata,Accepted,Excluded,5/12/2015
1.5,Cupressaceae,Juniperus communis var. jackii,Synonym of Juniperus jackii,Accepted,5/12/2015
1.5,Cupressaceae,Juniperus jackii,Accepted,Synonym of Juniperus communis var. jackii,5/12/2015
1.5,Cyperaceae,Carex minicaulis,Accepted,Excluded,5/12/2015
1.5,Elaeagnaceae,Elaeagnus commutata,Under evaluation,Accepted,5/12/2015
1.5,Ericaceae,Arctostaphylos mewukka ssp. mewukka,Under evaluation,Accepted,5/12/2015
1.5,Fabaceae,Pueraria montana,Accepted,Excluded,5/12/2015
1.5,Fabaceae,Pueraria montana var. lobata,Accepted,Excluded,5/12/2015
1.5,Iridaceae,Iris × thompsonii,Synonym of Iris douglasiana × Iris innominata,Accepted,5/12/2015
1.5,Iridaceae,Iris douglasiana × Iris innominata,Accepted,Synonym of Iris × thompsonii,5/12/2015
1.5,Iridaceae,Iris tenuissima,Under evaluation,Accepted,5/12/2015
1.5,Juncaceae,Juncus ambiguus,Accepted,Synonym of Juncus ranarius,5/12/2015
1.5,Juncaceae,Juncus ranarius,Under evaluation,Accepted,5/12/2015
1.5,Juncaceae,Luzula campestris,Accepted,Synonym of Luzula campestris ssp. campestris L. multiflora,5/12/2015
1.5,Juncaceae,Luzula cascadensis,Under evaluation,Accepted,5/12/2015
1.5,Juncaceae,Luzula macrantha,Under evaluation,Accepted,5/12/2015
1.5,Juncaceae,Luzula multiflora,Accepted,Synonym/Accepted,5/12/2015
1.5,Lamiaceae,Monardella angustifolia,Under evaluation,Accepted,5/12/2015
1.5,Liliaceae,Calochortus luteus,Under evaluation,Accepted,5/12/2015
1.5,Liliaceae,Calochortus umpquaensis ssp. confertus,Under evaluation,Accepted,5/12/2015
1.5,Liliaceae,Calochortus umpquaensis ssp. flavicomus,Under evaluation,Accepted,5/12/2015
1.5,Liliaceae,Calochortus umpquaensis ssp. umpquaensis,Under evaluation,Accepted,5/12/2015
1.5,Liliaceae,Gagea serotina,Under evaluation,Accepted,5/12/2015
1.5,Liliaceae,Lloydia serotina,Accepted,Synonym of Gagea serotina,5/12/2015
1.5,Liliaceae,Lloydia serotina ssp. serotina,Accepted,Synonym of Gagea serotina,5/12/2015
1.5,Liliaceae,Prosartes parvifolia,Accepted,Synonym of Prosartes hookeri,5/12/2015
1.5,Liliaceae,Streptopus lanceolatus,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Liliaceae,Streptopus lanceolatus var. curvipes,Accepted,Synonym of Streptopus lanceolatus,5/12/2015
1.5,Lycopodiaceae,Huperzia miyoshiana,Excluded,Accepted,5/12/2015
1.5,Malvaceae,Sidalcea hickmanii,Accepted (terminal),Accepted (not terminal),5/12/2015
1.5,Malvaceae,Sidalcea hickmanii ssp. petraea,Under evaluation,Accepted,5/12/2015
1.5,Melanthiaceae,Pseudotrillium rivale,Accepted,Synonym of Trillium rivale,5/12/2015
1.5,Melanthiaceae,Trillium rivale,Synonym of Pseudotrillium rivale,Accepted,5/12/2015
1.5,Melanthiaceae,Veratrum fimbriatum,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Listera banksiana,Accepted,Synonym of Neottia banksiana,5/12/2015
1.5,Orchidaceae,Listera borealis,Accepted,Synonym of Neottia borealis,5/12/2015
1.5,Orchidaceae,Listera convallarioides,Accepted,Synonym of Neottia convallarioides,5/12/2015
1.5,Orchidaceae,Listera cordata,Accepted,Synonym of Neottia cordata,5/12/2015
1.5,Orchidaceae,Neottia banksiana,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Neottia borealis,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Neottia convallarioides,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Neottia cordata,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Piperia candida,Accepted,Synonym of Platanthera ephemerantha,5/12/2015
1.5,Orchidaceae,Piperia elegans,Accepted,Synonym of Platanthera elegans,5/12/2015
1.5,Orchidaceae,Piperia elegans ssp. elegans,Accepted,Synonym of Platanthera elegans,5/12/2015
1.5,Orchidaceae,Piperia elongata,Accepted,Synonym of Platanthera elongata,5/12/2015
1.5,Orchidaceae,Piperia transversa,Accepted,Synonym of Platanthera transversa,5/12/2015
1.5,Orchidaceae,Piperia unalascensis,Accepted,Synonym of Platanthera unalascensis,5/12/2015
1.5,Orchidaceae,Platanthera elegans,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Platanthera elongata,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Platanthera ephemerantha,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Platanthera transversa,Under evaluation,Accepted,5/12/2015
1.5,Orchidaceae,Platanthera unalascensis,Under evaluation,Accepted,5/12/2015
1.5,Orobanchaceae,Bellardia viscosa,Under evaluation,Accepted,5/12/2015
1.5,Orobanchaceae,Parentucellia viscosa,Accepted,Synonym of Bellardia viscosa,5/12/2015
1.5,Pinaceae,Pinus attenuata × Pinus radiata,Under evaluation,Accepted,5/12/2015
1.5,Pinaceae,Pinus muricata,Under evaluation,Accepted,5/12/2015
1.5,Pinaceae,Pinus radiata,Excluded,Accepted,5/12/2015
1.5,Poaceae,Aira elegans,Accepted,Synonym of Aira elegantissima,5/12/2015
1.5,Poaceae,Bromus racemosus,Accepted,Excluded,5/12/2015
1.5,Poaceae,Dichanthelium acuminatum ssp. fasciculatum,Synonym of Dichanthelium acuminatum var. fasciculam,Accepted,5/12/2015
1.5,Poaceae,Dichanthelium acuminatum var. fasciculatum,Accepted,Synonym of Dichanthelium acuminatum ssp. fasciculatum,5/12/2015
1.5,Poaceae,Diplachne fusca,Under evaluation,Accepted,5/12/2015
1.5,Poaceae,Diplachne fusca ssp. fascicularis,Under evaluation,Accepted,5/12/2015
1.5,Poaceae,Diplachne fusca ssp. uninervia,Under evaluation,Accepted,5/12/2015
1.5,Poaceae,Elymus elymoides ssp. californicus,Accepted,Synonym of Elymus elymoides ssp. elymoides,5/12/2015
1.5,Poaceae,Festuca rubra ssp. juncea,Synonym of Festuca rubra ssp. pruinosa,Accepted,5/12/2015
1.5,Poaceae,Festuca rubra ssp. pruinosa,Accepted,Synonym of Festuca rubra ssp. juncea,5/12/2015
1.5,Poaceae,Leptochloa fusca,Accepted,Synonym of Diplachne fusca,5/12/2015
1.5,Poaceae,Leptochloa fusca ssp. fascicularis,Accepted,Synonym of Diplachne fusca ssp. fascicularis,5/12/2015
1.5,Poaceae,Leptochloa fusca ssp. uninervia,Accepted,Synonym of Diplachne fusca ssp. uninervia,5/12/2015
1.5,Poaceae,Piptatheropsis exigua,Under evaluation,Accepted,5/12/2015
1.5,Poaceae,Piptatherum exiguum,Accepted,Synonym of Piptatheropsis exigua,5/12/2015
1.5,Poaceae,Poa pratensis,Accepted (terminal),Accepted (not terminal),5/12/2015
1.5,Poaceae,Poa pratensis ssp. agassizensis,Synonym of Poa pratensis,Accepted,5/12/2015
1.5,Poaceae,Poa pratensis ssp. alpigena,Under evaluation,Accepted,5/12/2015
1.5,Poaceae,Poa pratensis ssp. angustifolia,Under evaluation,Accepted,5/12/2015
1.5,Poaceae,Poa pratensis ssp. irrigata,Synonym of Poa pratensis,Accepted,5/12/2015
1.5,Poaceae,Poa pratensis ssp. pratensis,Synonym of Poa pratensis,Accepted,5/12/2015
1.5,Poaceae,Polypogon maritimus,Excluded,Accepted,5/12/2015
1.5,Poaceae,Thinopyrum junceum,Accepted,Excluded,5/12/2015
1.5,Poaceae,Zea mays,Accepted,Excluded,5/12/2015
1.5,Poaceae,Zea mays ssp. mays,Accepted,Excluded,5/12/2015
1.5,Polygonaceae,Eriogonum pyrolifolium,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Polygonaceae,Eriogonum pyrolifolium var. coryphaeum,Accepted,Synonym of Eriogonum pyrolifolium,5/12/2015
1.5,Polygonaceae,Eriogonum pyrolifolium var. pyrolifolium,Accepted,Synonym of Eriogonum pyrolifolium,5/12/2015
1.5,Polygonaceae,Rumex californicus,Excluded,Accepted,5/12/2015
1.5,Potamogetonaceae,Potamogeton foliosus,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Potamogetonaceae,Potamogeton foliosus ssp. foliosus,Accepted,Synonym of Potamogeton foliosus,5/12/2015
1.5,Potamogetonaceae,Potamogeton pusillus,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Potamogetonaceae,Potamogeton pusillus ssp. pusillus,Accepted,Synonym of Potamogeton pusillus,5/12/2015
1.5,Rhamnaceae,Ceanothus lemmonii,Under evaluation,Accepted,5/12/2015
1.5,Rhamnaceae,Ceanothus palmeri,Under evaluation,Accepted,5/12/2015
1.5,Rosaceae,Photinia serratifolia,Under evaluation,Accepted,5/12/2015
1.5,Rosaceae,Rosa gymnocarpa ssp. helleri,Under evaluation,Accepted,5/12/2015
1.5,Salicaceae,Populus fremontii,Under evaluation,Accepted,5/12/2015
1.5,Scheuchzeriaceae,Scheuchzeria palustris,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Scheuchzeriaceae,Scheuchzeria palustris ssp. americana,Accepted,Synonym of Scheuchzeria palustris,5/12/2015
1.5,Scrophulariaceae,Scrophularia californica,Accepted (not terminal),Accepted (terminal),5/12/2015
1.5,Scrophulariaceae,Scrophularia californica ssp. californica,Accepted,Synonym of Scrophularia californica,5/12/2015
1.5,Taxaceae,Torreya californica,Under evaluation,Accepted,5/12/2015
1.4,Adoxaceae,Sambucus nigra,Under evaluation,Accepted,5/1/2014
1.4,Amaryllidaceae,Allium brandegeei,Excluded,Accepted,5/1/2014
1.4,Amaryllidaceae,Amaryllis belladonna,Under evaluation,Accepted,5/1/2014
1.4,Apiaceae,Torilis leptophylla,Under evaluation,Accepted,5/1/2014
1.4,Araceae,Landoltia punctata,Synonym of Spirodela punctata,Accepted,5/1/2014
1.4,Araceae,Pistia stratiotes,Under evaluation,Accepted,5/1/2014
